open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764028800000,88247.10,88247.10,88205.80,88210.90,64.963,1764028859999,5731024.03600,1277,18.136,1599965.82950,0
1764028860000,88210.90,88211.00,88112.00,88114.40,198.730,1764028919999,17520672.60010,3621,27.937,2462289.74320,0
1764028920000,88114.30,88140.60,88089.30,88095.60,146.818,1764028979999,12935804.62190,3053,55.960,4930479.02170,0
1764028980000,88095.60,88134.70,88036.20,88134.70,99.837,1764029039999,8792587.10610,3166,53.888,4746173.33150,0
1764029040000,88134.70,88152.80,88066.60,88119.70,92.420,1764029099999,8142383.02700,2858,57.545,5069635.04200,0
1764029100000,88119.70,88141.10,88075.60,88083.10,95.763,1764029159999,8437902.37670,2505,34.177,3011381.72470,0
1764029160000,88083.00,88178.00,88083.00,88149.20,83.902,1764029219999,7395191.42840,3181,51.943,4578109.83600,0
1764029220000,88149.20,88190.00,88140.40,88160.10,62.381,1764029279999,5499410.29870,2074,43.016,3792223.35210,0
1764029280000,88160.10,88160.10,88125.30,88143.50,45.197,1764029339999,3983429.75230,1463,29.181,2571798.64060,0
1764029340000,88143.50,88143.50,88068.50,88082.90,44.013,1764029399999,3877381.13840,1733,11.487,1011922.53900,0
1764029400000,88082.90,88136.80,88080.00,88109.60,44.438,1764029459999,3915867.99240,1879,23.888,2104886.91140,0
1764029460000,88109.70,88130.20,88071.00,88071.00,41.964,1764029519999,3697276.41210,1547,28.107,2476490.05130,0
1764029520000,88071.00,88103.70,88071.00,88100.40,56.516,1764029579999,4978201.99350,1217,42.916,3780286.23540,0
1764029580000,88100.50,88100.50,88035.30,88048.40,69.865,1764029639999,6151858.08160,1807,27.786,2446330.57950,0
1764029640000,88048.30,88048.40,87940.30,87990.60,221.858,1764029699999,19519789.30360,5567,45.147,3972115.49930,0
1764029700000,87990.60,87990.70,87917.10,87927.30,147.081,1764029759999,12934250.38540,3825,44.676,3928571.55570,0
1764029760000,87927.30,87934.20,87887.80,87917.30,126.422,1764029819999,11113366.45370,2788,25.123,2208705.02390,0
1764029820000,87917.30,87937.30,87887.30,87912.70,68.368,1764029879999,6010299.56790,2446,28.298,2487757.39600,0
1764029880000,87912.20,87912.20,87880.00,87889.30,73.894,1764029939999,6494522.73580,2152,39.481,3470037.22400,0
1764029940000,87889.40,87969.40,87889.30,87961.10,101.539,1764029999999,8928536.54100,2931,46.183,4060920.42730,0
1764030000000,87961.10,88042.50,87939.70,88022.60,123.022,1764030059999,10825525.20710,3407,67.942,5978783.85760,0
1764030060000,88022.60,88031.70,87967.70,87967.70,77.221,1764030119999,6795612.54170,1766,25.754,2266538.14350,0
1764030120000,87967.70,87973.90,87910.00,87931.00,219.056,1764030179999,19261523.22920,3455,55.701,4897785.20340,0
1764030180000,87930.90,87961.90,87878.00,87878.00,188.232,1764030239999,16548287.61170,2272,15.178,1334523.04660,0
1764030240000,87878.00,87930.70,87871.00,87910.20,61.213,1764030299999,5380657.08810,2150,30.897,2715953.16640,0
1764030300000,87910.20,87921.80,87882.10,87905.10,38.938,1764030359999,3422889.94340,1590,11.153,980404.66570,0
1764030360000,87905.20,87935.00,87867.20,87874.00,71.567,1764030419999,6289877.22050,1992,24.277,2133711.05890,0
1764030420000,87873.90,87931.10,87853.00,87880.30,77.210,1764030479999,6785894.15960,2692,42.785,3760502.99530,0
1764030480000,87880.20,87896.20,87825.00,87893.20,206.789,1764030539999,18165010.37290,3365,90.132,7917988.36810,0
1764030540000,87893.10,87893.10,87836.10,87846.30,29.705,1764030599999,2609689.59020,1355,18.573,1631675.40160,0
1764030600000,87846.30,87878.10,87836.20,87875.40,53.244,1764030659999,4677948.78060,2024,25.964,2281196.64490,0
1764030660000,87875.40,87940.00,87828.50,87852.40,205.081,1764030719999,18022057.17620,4669,37.822,3324010.30450,0
1764030720000,87852.40,87883.70,87844.60,87875.70,68.982,1764030779999,6060773.50190,1922,16.946,1488946.37400,0
1764030780000,87875.60,87904.00,87870.50,87875.90,52.044,1764030839999,4573686.07260,1546,28.820,2532716.81560,0
1764030840000,87876.00,88093.40,87875.90,88063.50,268.476,1764030899999,23630758.43410,5526,225.708,19866523.43630,0
1764030900000,88063.40,88120.80,88049.00,88100.00,115.815,1764030959999,10202494.14550,3183,77.399,6818200.10140,0
1764030960000,88100.10,88156.20,88100.00,88139.90,157.277,1764031019999,13861507.49490,3369,122.042,10756240.32900,0
1764031020000,88139.90,88140.00,88050.00,88057.10,75.704,1764031079999,6668344.96810,2536,40.195,3540454.75720,0
1764031080000,88057.10,88106.30,88057.10,88106.20,73.674,1764031139999,6489481.61010,2525,45.952,4047700.59320,0
1764031140000,88106.20,88109.00,88056.80,88073.90,127.591,1764031199999,11237675.97130,2561,68.980,6075350.69930,0
1764031200000,88073.80,88132.00,88055.60,88123.00,59.729,1764031259999,5261556.98290,2172,33.276,2931379.10380,0
1764031260000,88123.10,88153.20,88105.10,88150.30,71.981,1764031319999,6343362.79340,2162,38.554,3397785.18960,0
1764031320000,88150.20,88232.80,88150.10,88228.20,187.945,1764031379999,16578792.97710,3737,127.779,11271062.71670,0
1764031380000,88228.10,88234.90,88133.10,88140.30,116.537,1764031439999,10275631.57100,3037,53.838,4747022.86040,0
1764031440000,88140.30,88153.90,88136.30,88147.30,29.003,1764031499999,2556455.10700,876,13.241,1167126.61580,0
1764031500000,88147.20,88208.10,88130.10,88143.90,98.081,1764031559999,8647120.94690,3222,52.121,4595340.34660,0
1764031560000,88143.90,88144.00,88088.60,88094.90,53.838,1764031619999,4743897.81360,1983,14.766,1301073.77360,0
1764031620000,88094.90,88115.00,88050.00,88050.00,50.037,1764031679999,4407305.51330,1925,16.064,1415023.92880,0
1764031680000,88050.10,88050.10,87966.90,87986.80,72.973,1764031739999,6422306.71570,2722,23.832,2097427.20880,0
1764031740000,87986.80,88020.00,87928.90,88003.20,143.006,1764031799999,12579266.67540,3274,24.392,2145843.97350,0
1764031800000,88003.20,88020.00,87999.90,88003.90,35.782,1764031859999,3149047.78480,1027,13.881,1221637.52300,0
1764031860000,88004.00,88039.80,87945.60,88020.10,91.713,1764031919999,8069827.42260,2656,19.649,1728840.65890,0
1764031920000,88020.10,88052.70,87970.20,87978.50,72.937,1764031979999,6419025.54920,2631,9.652,849588.27600,0
1764031980000,87978.60,88015.20,87913.30,88004.40,54.745,1764032039999,4816088.57470,2745,20.473,1801249.82100,0
1764032040000,88004.30,88121.30,88004.30,88096.40,76.781,1764032099999,6761892.49230,3049,60.485,5326619.76370,0
1764032100000,88096.30,88121.30,88013.10,88121.30,127.325,1764032159999,11211442.91480,3302,34.927,3076023.02260,0
1764032160000,88121.30,88121.30,88038.40,88038.40,130.759,1764032219999,11517021.81570,2868,27.553,2427290.05060,0
1764032220000,88038.00,88083.80,88026.40,88072.40,42.062,1764032279999,3703359.93840,1937,27.610,2430977.48520,0
1764032280000,88072.40,88075.90,88024.90,88034.50,31.913,1764032339999,2809575.02690,1237,15.974,1406229.41780,0
1764032340000,88034.50,88058.00,88011.10,88057.90,23.605,1764032399999,2078203.99170,1187,11.549,1016775.87090,0
1764032400000,88058.00,88082.40,87862.40,87887.20,157.504,1764032459999,13853481.55180,5198,49.629,4364120.86540,0
1764032460000,87887.20,87908.70,87867.50,87897.10,75.268,1764032519999,6615200.77070,2538,30.385,2670534.04880,0
1764032520000,87897.10,87927.20,87888.40,87911.90,37.322,1764032579999,3280776.07460,1936,13.928,1224338.29090,0
1764032580000,87911.90,87999.00,87911.90,87999.00,41.642,1764032639999,3662065.30000,2239,34.563,3039580.08090,0
1764032640000,87999.00,88050.00,87955.30,87971.60,60.414,1764032699999,5317113.39260,3094,21.537,1895494.27420,0
1764032700000,87971.50,87994.90,87943.90,87948.60,25.526,1764032759999,2245559.46110,1835,13.286,1168777.91450,0
1764032760000,87948.60,87993.90,87906.60,87906.60,30.237,1764032819999,2659244.13840,1695,9.613,845601.76430,0
1764032820000,87906.70,87916.50,87864.00,87890.30,48.201,1764032879999,4236151.35450,1970,21.147,1858520.86150,0
1764032880000,87890.30,87985.00,87856.40,87983.10,84.353,1764032939999,7414847.86170,3518,46.256,4065868.09530,0
1764032940000,87983.20,88068.00,87983.20,88014.30,72.712,1764032999999,6401140.27110,2638,37.199,3274855.30760,0
1764033000000,88014.30,88033.20,87970.20,88008.30,43.595,1764033059999,3836199.64820,1820,21.167,1862648.39300,0
1764033060000,88008.30,88067.10,88001.60,88063.20,44.562,1764033119999,3923641.74360,2578,26.542,2336954.74000,0
1764033120000,88063.20,88146.90,88063.20,88145.80,76.949,1764033179999,6780332.79460,2252,57.740,5087719.15500,0
