open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1773446400000,2091.00,2091.00,2088.36,2088.81,1952.103,1773446459999,4078579.90672,4676,797.197,1665416.18840,0
1773446460000,2088.81,2089.81,2087.60,2088.18,1819.042,1773446519999,3799162.47693,3515,656.645,1371341.94637,0
1773446520000,2088.17,2089.19,2087.30,2087.50,2040.992,1773446579999,4261886.42827,3508,541.365,1130537.97840,0
1773446580000,2087.49,2088.86,2086.79,2088.86,1883.356,1773446639999,3931964.57686,2204,1388.758,2899534.35932,0
1773446640000,2088.86,2090.41,2088.08,2088.09,1901.462,1773446699999,3972883.27876,3703,622.866,1301411.90714,0
1773446700000,2088.09,2089.87,2088.08,2088.80,871.468,1773446759999,1820419.36487,2454,479.200,1001008.45117,0
1773446760000,2088.80,2090.19,2088.69,2090.17,517.906,1773446819999,1082099.30387,1601,401.682,839267.53664,0
1773446820000,2090.16,2090.16,2088.92,2089.50,656.096,1773446879999,1370972.38051,1453,195.851,409197.89064,0
1773446880000,2089.50,2090.50,2089.07,2089.21,642.421,1773446939999,1342539.94789,1924,224.310,468700.49530,0
1773446940000,2089.22,2090.50,2089.07,2090.50,385.826,1773446999999,806202.64506,1704,242.394,506498.87670,0
1773447000000,2090.50,2091.98,2090.11,2090.89,1730.516,1773447059999,3618710.81137,3687,1002.660,2096654.14313,0
1773447060000,2090.89,2091.00,2090.25,2091.00,1040.578,1773447119999,2175648.88402,2266,874.609,1828671.05577,0
1773447120000,2091.00,2091.07,2089.46,2089.65,2317.227,1773447179999,4844099.32412,2277,916.017,1915207.76379,0
1773447180000,2089.64,2091.25,2089.64,2091.24,556.820,1773447239999,1164133.94554,1377,444.598,929520.81762,0
1773447240000,2091.24,2092.71,2090.85,2092.70,2006.270,1773447299999,4196949.98789,2203,1726.576,3611806.74343,0
1773447300000,2092.71,2093.81,2092.71,2093.26,3109.264,1773447359999,6508228.88235,4104,1633.005,3418251.61055,0
1773447360000,2093.25,2093.26,2090.29,2092.04,2995.007,1773447419999,6263781.05529,4126,609.707,1275048.50123,0
1773447420000,2092.04,2092.93,2091.69,2091.89,676.331,1773447479999,1415062.96994,1748,370.007,774132.51054,0
1773447480000,2091.89,2091.94,2090.83,2091.69,668.733,1773447539999,1398528.65436,1352,205.737,430247.70997,0
